ICD10CMCODE,DiagnosisDesc,TotalDiag,PrimaryDiag,SecondDiag
M61.10,"MYOSITIS OSSIFICANS PROGRESSIVA, UNSPECIFIED SITE",9,,9
M61.18,"MYOSITIS OSSIFICANS PROGRESSIVA, OTHER SITE",2,,2
M61.19,"MYOSITIS OSSIFICANS PROGRESSIVA, MULTIPLE SITES",2,,2
M61.20,"PARALYTIC CALCIFCN AND OSSIFICATION OF MUSCLE, UNSP SITE",1,,1
M61.221,"PARALYTIC CALCIFICATION AND OSSIFICATION OF MUSCLE, R UP ARM",1,,1
M61.251,"PARALYTIC CALCIFCN AND OSSIFICATION OF MUSCLE, RIGHT THIGH",1,1,
M61.262,"PARALYTIC CALCIFCN AND OSSIFICATION OF MUSCLE, L LOW LEG",1,,1
M61.28,"PARALYTIC CALCIFICATION AND OSSIFICATION OF MUSCLE, OTH SITE",3,1,2
M61.312,"CALCIFCN AND OSSIFICTN OF MUSCLES ASSOC W BURNS, L SHOULDER",1,1,
M61.351,"CALCIFCN AND OSSIFICTN OF MUSCLES ASSOC W BURNS, RIGHT THIGH",1,,1
M61.39,"CALCIFCN AND OSSIFICTN OF MUSCLES ASSOC W BURNS, MULT SITES",1,,1
M61.40,"OTHER CALCIFICATION OF MUSCLE, UNSPECIFIED SITE",6,1,5
M61.411,"OTHER CALCIFICATION OF MUSCLE, RIGHT SHOULDER",2,,2
M61.412,"OTHER CALCIFICATION OF MUSCLE, LEFT SHOULDER",1,,1
M61.441,"OTHER CALCIFICATION OF MUSCLE, RIGHT HAND",1,,1
M61.451,"OTHER CALCIFICATION OF MUSCLE, RIGHT THIGH",3,1,2
M61.452,"OTHER CALCIFICATION OF MUSCLE, LEFT THIGH",3,1,2
M61.461,"OTHER CALCIFICATION OF MUSCLE, RIGHT LOWER LEG",1,,1
M61.462,"OTHER CALCIFICATION OF MUSCLE, LEFT LOWER LEG",2,1,1
M61.471,"OTHER CALCIFICATION OF MUSCLE, RIGHT ANKLE AND FOOT",1,,1
M61.48,"OTHER CALCIFICATION OF MUSCLE, OTHER SITE",9,1,8
M61.49,"OTHER CALCIFICATION OF MUSCLE, MULTIPLE SITES",2,1,1
M61.50,"OTHER OSSIFICATION OF MUSCLE, UNSPECIFIED SITE",6,1,5
M61.511,"OTHER OSSIFICATION OF MUSCLE, RIGHT SHOULDER",1,,1
M61.521,"OTHER OSSIFICATION OF MUSCLE, RIGHT UPPER ARM",2,1,1
M61.551,"OTHER OSSIFICATION OF MUSCLE, RIGHT THIGH",16,4,12
M61.552,"OTHER OSSIFICATION OF MUSCLE, LEFT THIGH",17,2,15
M61.561,"OTHER OSSIFICATION OF MUSCLE, RIGHT LOWER LEG",3,,3
M61.562,"OTHER OSSIFICATION OF MUSCLE, LEFT LOWER LEG",4,,4
M61.571,"OTHER OSSIFICATION OF MUSCLE, RIGHT ANKLE AND FOOT",3,,3
M61.58,"OTHER OSSIFICATION OF MUSCLE, OTHER SITE",27,4,23
M61.59,"OTHER OSSIFICATION OF MUSCLE, MULTIPLE SITES",1,,1
M61.9,"CALCIFICATION AND OSSIFICATION OF MUSCLE, UNSPECIFIED",69,5,64
M62.00,"SEPARATION OF MUSCLE (NONTRAUMATIC), UNSPECIFIED SITE",3,,3
M62.051,"SEPARATION OF MUSCLE (NONTRAUMATIC), RIGHT THIGH",2,1,1
M62.052,"SEPARATION OF MUSCLE (NONTRAUMATIC), LEFT THIGH",1,,1
M62.059,"SEPARATION OF MUSCLE (NONTRAUMATIC), UNSPECIFIED THIGH",1,,1
M62.061,"SEPARATION OF MUSCLE (NONTRAUMATIC), RIGHT LOWER LEG",1,,1
M62.08,"SEPARATION OF MUSCLE (NONTRAUMATIC), OTHER SITE",377,18,359
M62.10,"OTHER RUPTURE OF MUSCLE (NONTRAUMATIC), UNSPECIFIED SITE",2,,2
M62.112,"OTHER RUPTURE OF MUSCLE (NONTRAUMATIC), LEFT SHOULDER",4,1,3
M62.151,"OTHER RUPTURE OF MUSCLE (NONTRAUMATIC), RIGHT THIGH",2,1,1
M62.152,"OTHER RUPTURE OF MUSCLE (NONTRAUMATIC), LEFT THIGH",4,,4
M62.161,"OTHER RUPTURE OF MUSCLE (NONTRAUMATIC), RIGHT LOWER LEG",3,2,1
M62.162,"OTHER RUPTURE OF MUSCLE (NONTRAUMATIC), LEFT LOWER LEG",2,,2
M62.18,"OTHER RUPTURE OF MUSCLE (NONTRAUMATIC), OTHER SITE",8,2,6
M62.20,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, UNSPECIFIED SITE",4,,4
M62.211,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, RIGHT SHOULDER",1,1,
M62.221,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, RIGHT UPPER ARM",1,,1
M62.222,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, LEFT UPPER ARM",1,1,
M62.231,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, RIGHT FOREARM",1,,1
M62.232,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, LEFT FOREARM",2,,2
M62.241,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, RIGHT HAND",6,2,4
M62.242,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, LEFT HAND",3,1,2
M62.251,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, RIGHT THIGH",4,,4
M62.252,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, LEFT THIGH",5,,5
M62.259,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, UNSP THIGH",1,,1
M62.261,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, RIGHT LOWER LEG",35,7,28
M62.262,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, LEFT LOWER LEG",65,11,54
M62.269,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, UNSP LOWER LEG",2,,2
M62.271,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, RIGHT ANK/FT",10,3,7
M62.272,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, LEFT ANK/FT",6,,6
M62.28,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, OTHER SITE",5,1,4
M62.3,IMMOBILITY SYNDROME (PARAPLEGIC),127,,127
M62.40,"CONTRACTURE OF MUSCLE, UNSPECIFIED SITE",216,,216
M62.411,"CONTRACTURE OF MUSCLE, RIGHT SHOULDER",3,1,2
M62.412,"CONTRACTURE OF MUSCLE, LEFT SHOULDER",4,,4
M62.421,"CONTRACTURE OF MUSCLE, RIGHT UPPER ARM",99,,99
M62.422,"CONTRACTURE OF MUSCLE, LEFT UPPER ARM",117,,117
M62.429,"CONTRACTURE OF MUSCLE, UNSPECIFIED UPPER ARM",12,1,11
M62.431,"CONTRACTURE OF MUSCLE, RIGHT FOREARM",16,,16
M62.432,"CONTRACTURE OF MUSCLE, LEFT FOREARM",17,2,15
M62.439,"CONTRACTURE OF MUSCLE, UNSPECIFIED FOREARM",2,,2
M62.441,"CONTRACTURE OF MUSCLE, RIGHT HAND",33,,33
M62.442,"CONTRACTURE OF MUSCLE, LEFT HAND",34,1,33
M62.449,"CONTRACTURE OF MUSCLE, UNSPECIFIED HAND",1,,1
M62.451,"CONTRACTURE OF MUSCLE, RIGHT THIGH",48,3,45
M62.452,"CONTRACTURE OF MUSCLE, LEFT THIGH",51,2,49
M62.461,"CONTRACTURE OF MUSCLE, RIGHT LOWER LEG",212,3,209
M62.462,"CONTRACTURE OF MUSCLE, LEFT LOWER LEG",244,18,226
M62.469,"CONTRACTURE OF MUSCLE, UNSPECIFIED LOWER LEG",23,,23
M62.471,"CONTRACTURE OF MUSCLE, RIGHT ANKLE AND FOOT",30,4,26
M62.472,"CONTRACTURE OF MUSCLE, LEFT ANKLE AND FOOT",29,3,26
M62.48,"CONTRACTURE OF MUSCLE, OTHER SITE",61,4,57
M62.49,"CONTRACTURE OF MUSCLE, MULTIPLE SITES",268,1,267
M62.50,"MUSCLE WASTING AND ATROPHY, NEC, UNSP SITE",1614,50,1564
M62.511,"MUSCLE WASTING AND ATROPHY, NEC, RIGHT SHOULDER",28,,28
M62.512,"MUSCLE WASTING AND ATROPHY, NEC, LEFT SHOULDER",14,1,13
M62.519,"MUSCLE WASTING AND ATROPHY, NEC, UNSP SHOULDER",1,,1
M62.521,"MUSCLE WASTING AND ATROPHY, NEC, RIGHT UPPER ARM",42,,42
M62.522,"MUSCLE WASTING AND ATROPHY, NEC, LEFT UPPER ARM",29,1,28
M62.529,"MUSCLE WASTING AND ATROPHY, NEC, UNSP UPPER ARM",7,,7
M62.531,"MUSCLE WASTING AND ATROPHY, NEC, RIGHT FOREARM",9,,9
M62.532,"MUSCLE WASTING AND ATROPHY, NEC, LEFT FOREARM",5,,5
M62.539,"MUSCLE WASTING AND ATROPHY, NEC, UNSP FOREARM",3,,3
M62.541,"MUSCLE WASTING AND ATROPHY, NEC, RIGHT HAND",49,,49
M62.542,"MUSCLE WASTING AND ATROPHY, NEC, LEFT HAND",33,,33
M62.549,"MUSCLE WASTING AND ATROPHY, NEC, UNSP HAND",2,,2
M62.551,"MUSCLE WASTING AND ATROPHY, NEC, RIGHT THIGH",29,,29
M62.552,"MUSCLE WASTING AND ATROPHY, NEC, LEFT THIGH",34,,34
M62.559,"MUSCLE WASTING AND ATROPHY, NEC, UNSP THIGH",2,,2
M62.561,"MUSCLE WASTING AND ATROPHY, NEC, RIGHT LOWER LEG",171,1,170
M62.562,"MUSCLE WASTING AND ATROPHY, NEC, LEFT LOWER LEG",166,1,165
M62.569,"MUSCLE WASTING AND ATROPHY, NEC, UNSP LOWER LEG",30,,30
M62.571,"MUSCLE WASTING AND ATROPHY, NEC, RIGHT ANKLE AND FOOT",6,,6
M62.572,"MUSCLE WASTING AND ATROPHY, NEC, LEFT ANKLE AND FOOT",9,,9
M62.579,"MUSCLE WASTING AND ATROPHY, NEC, UNSP ANKLE AND FOOT",1,,1
M62.58,"MUSCLE WASTING AND ATROPHY, NEC, OTH SITE",192,1,191
M62.59,"MUSCLE WASTING AND ATROPHY, NEC, MULTIPLE SITES",214,6,208
M62.81,MUSCLE WEAKNESS (GENERALIZED),11465,609,10856
M62.82,RHABDOMYOLYSIS,23399,3522,19877
M62.830,MUSCLE SPASM OF BACK,1827,104,1723
M62.831,MUSCLE SPASM OF CALF,88,4,84
M62.838,OTHER MUSCLE SPASM,5639,123,5516
M62.84,SARCOPENIA,404,1,403
M62.89,OTHER SPECIFIED DISORDERS OF MUSCLE,683,40,643
M62.9,"DISORDER OF MUSCLE, UNSPECIFIED",81,8,73
M63.80,"DISORDERS OF MUSCLE IN DISEASES CLASSD ELSWHR, UNSP SITE",1,,1
M63.851,"DISORDERS OF MUSCLE IN DISEASES CLASSD ELSWHR, RIGHT THIGH",2,,2
M63.861,"DISORDERS OF MUSCLE IN DISEASES CLASSD ELSWHR, R LOW LEG",2,,2
M63.862,"DISORDERS OF MUSCLE IN DISEASES CLASSD ELSWHR, L LOW LEG",2,,2
M63.88,"DISORDERS OF MUSCLE IN DISEASES CLASSD ELSWHR, OTH SITE",2,1,1
M63.89,"DISORD OF MUSCLE IN DISEASES CLASSD ELSWHR, MULTIPLE SITES",2,,2
M65.011,"ABSCESS OF TENDON SHEATH, RIGHT SHOULDER",4,,4
M65.021,"ABSCESS OF TENDON SHEATH, RIGHT UPPER ARM",8,,8
M65.022,"ABSCESS OF TENDON SHEATH, LEFT UPPER ARM",1,,1
M65.031,"ABSCESS OF TENDON SHEATH, RIGHT FOREARM",7,2,5
M65.032,"ABSCESS OF TENDON SHEATH, LEFT FOREARM",10,2,8
M65.041,"ABSCESS OF TENDON SHEATH, RIGHT HAND",40,22,18
M65.042,"ABSCESS OF TENDON SHEATH, LEFT HAND",23,8,15
M65.051,"ABSCESS OF TENDON SHEATH, RIGHT THIGH",1,1,
M65.052,"ABSCESS OF TENDON SHEATH, LEFT THIGH",3,,3
M65.061,"ABSCESS OF TENDON SHEATH, RIGHT LOWER LEG",9,5,4
M65.062,"ABSCESS OF TENDON SHEATH, LEFT LOWER LEG",6,2,4
M65.069,"ABSCESS OF TENDON SHEATH, UNSPECIFIED LOWER LEG",1,,1
M65.071,"ABSCESS OF TENDON SHEATH, RIGHT ANKLE AND FOOT",55,4,51
M65.072,"ABSCESS OF TENDON SHEATH, LEFT ANKLE AND FOOT",73,3,70
M65.08,"ABSCESS OF TENDON SHEATH, OTHER SITE",2,,2
M65.10,"OTHER INFECTIVE (TENO)SYNOVITIS, UNSPECIFIED SITE",7,,7
M65.111,"OTHER INFECTIVE (TENO)SYNOVITIS, RIGHT SHOULDER",10,1,9
M65.112,"OTHER INFECTIVE (TENO)SYNOVITIS, LEFT SHOULDER",6,,6
M65.121,"OTHER INFECTIVE (TENO)SYNOVITIS, RIGHT ELBOW",8,1,7
M65.122,"OTHER INFECTIVE (TENO)SYNOVITIS, LEFT ELBOW",2,1,1
M65.131,"OTHER INFECTIVE (TENO)SYNOVITIS, RIGHT WRIST",39,8,31
M65.132,"OTHER INFECTIVE (TENO)SYNOVITIS, LEFT WRIST",32,6,26
M65.141,"OTHER INFECTIVE (TENO)SYNOVITIS, RIGHT HAND",286,159,127
M65.142,"OTHER INFECTIVE (TENO)SYNOVITIS, LEFT HAND",265,147,118
M65.149,"OTHER INFECTIVE (TENO)SYNOVITIS, UNSPECIFIED HAND",2,1,1
M65.151,"OTHER INFECTIVE (TENO)SYNOVITIS, RIGHT HIP",8,4,4
M65.152,"OTHER INFECTIVE (TENO)SYNOVITIS, LEFT HIP",5,,5
M65.161,"OTHER INFECTIVE (TENO)SYNOVITIS, RIGHT KNEE",43,3,40
M65.162,"OTHER INFECTIVE (TENO)SYNOVITIS, LEFT KNEE",23,1,22
M65.169,"OTHER INFECTIVE (TENO)SYNOVITIS, UNSPECIFIED KNEE",1,1,
M65.171,"OTHER INFECTIVE (TENO)SYNOVITIS, RIGHT ANKLE AND FOOT",49,6,43
M65.172,"OTHER INFECTIVE (TENO)SYNOVITIS, LEFT ANKLE AND FOOT",40,,40
M65.18,"OTHER INFECTIVE (TENO)SYNOVITIS, OTHER SITE",30,8,22
M65.19,"OTHER INFECTIVE (TENO)SYNOVITIS, MULTIPLE SITES",3,,3
M65.20,"CALCIFIC TENDINITIS, UNSPECIFIED SITE",26,,26
M65.221,"CALCIFIC TENDINITIS, RIGHT UPPER ARM",8,,8
M65.222,"CALCIFIC TENDINITIS, LEFT UPPER ARM",6,,6
M65.231,"CALCIFIC TENDINITIS, RIGHT FOREARM",1,,1
M65.232,"CALCIFIC TENDINITIS, LEFT FOREARM",2,,2
M65.241,"CALCIFIC TENDINITIS, RIGHT HAND",1,1,
M65.242,"CALCIFIC TENDINITIS, LEFT HAND",2,,2
M65.249,"CALCIFIC TENDINITIS, UNSPECIFIED HAND",1,,1
M65.251,"CALCIFIC TENDINITIS, RIGHT THIGH",5,,5
M65.252,"CALCIFIC TENDINITIS, LEFT THIGH",5,,5
M65.261,"CALCIFIC TENDINITIS, RIGHT LOWER LEG",4,,4
M65.262,"CALCIFIC TENDINITIS, LEFT LOWER LEG",3,,3
M65.269,"CALCIFIC TENDINITIS, UNSPECIFIED LOWER LEG",1,,1
M65.271,"CALCIFIC TENDINITIS, RIGHT ANKLE AND FOOT",3,1,2
M65.272,"CALCIFIC TENDINITIS, LEFT ANKLE AND FOOT",5,,5
M65.279,"CALCIFIC TENDINITIS, UNSPECIFIED ANKLE AND FOOT",1,,1
M65.28,"CALCIFIC TENDINITIS, OTHER SITE",11,6,5
M65.30,"TRIGGER FINGER, UNSPECIFIED FINGER",420,,420
M65.311,"TRIGGER THUMB, RIGHT THUMB",43,,43
M65.312,"TRIGGER THUMB, LEFT THUMB",49,1,48
M65.319,"TRIGGER THUMB, UNSPECIFIED THUMB",31,,31
M65.321,"TRIGGER FINGER, RIGHT INDEX FINGER",17,,17
M65.322,"TRIGGER FINGER, LEFT INDEX FINGER",18,,18
M65.331,"TRIGGER FINGER, RIGHT MIDDLE FINGER",41,,41
M65.332,"TRIGGER FINGER, LEFT MIDDLE FINGER",42,,42
M65.339,"TRIGGER FINGER, UNSPECIFIED MIDDLE FINGER",3,,3
M65.341,"TRIGGER FINGER, RIGHT RING FINGER",34,,34
M65.342,"TRIGGER FINGER, LEFT RING FINGER",27,1,26
M65.351,"TRIGGER FINGER, RIGHT LITTLE FINGER",4,,4
M65.352,"TRIGGER FINGER, LEFT LITTLE FINGER",8,,8
M65.359,"TRIGGER FINGER, UNSPECIFIED LITTLE FINGER",1,,1
M65.4,RADIAL STYLOID TENOSYNOVITIS [DE QUERVAIN],173,4,169
M65.80,"OTHER SYNOVITIS AND TENOSYNOVITIS, UNSPECIFIED SITE",26,,26
M65.811,"OTHER SYNOVITIS AND TENOSYNOVITIS, RIGHT SHOULDER",175,6,169
M65.812,"OTHER SYNOVITIS AND TENOSYNOVITIS, LEFT SHOULDER",128,2,126
M65.819,"OTHER SYNOVITIS AND TENOSYNOVITIS, UNSPECIFIED SHOULDER",9,1,8
M65.821,"OTHER SYNOVITIS AND TENOSYNOVITIS, RIGHT UPPER ARM",23,2,21
M65.822,"OTHER SYNOVITIS AND TENOSYNOVITIS, LEFT UPPER ARM",20,3,17
M65.831,"OTHER SYNOVITIS AND TENOSYNOVITIS, RIGHT FOREARM",52,6,46
M65.832,"OTHER SYNOVITIS AND TENOSYNOVITIS, LEFT FOREARM",35,6,29
M65.839,"OTHER SYNOVITIS AND TENOSYNOVITIS, UNSPECIFIED FOREARM",4,,4
M65.841,"OTHER SYNOVITIS AND TENOSYNOVITIS, RIGHT HAND",545,198,347
M65.842,"OTHER SYNOVITIS AND TENOSYNOVITIS, LEFT HAND",407,129,278
M65.849,"OTHER SYNOVITIS AND TENOSYNOVITIS, UNSPECIFIED HAND",63,9,54
M65.851,"OTHER SYNOVITIS AND TENOSYNOVITIS, RIGHT THIGH",64,2,62
M65.852,"OTHER SYNOVITIS AND TENOSYNOVITIS, LEFT THIGH",70,5,65
M65.861,"OTHER SYNOVITIS AND TENOSYNOVITIS, RIGHT LOWER LEG",454,22,432
M65.862,"OTHER SYNOVITIS AND TENOSYNOVITIS, LEFT LOWER LEG",405,11,394
M65.869,"OTHER SYNOVITIS AND TENOSYNOVITIS, UNSPECIFIED LOWER LEG",31,,31
M65.871,"OTHER SYNOVITIS AND TENOSYNOVITIS, RIGHT ANKLE AND FOOT",130,14,116
M65.872,"OTHER SYNOVITIS AND TENOSYNOVITIS, LEFT ANKLE AND FOOT",123,4,119
M65.879,"OTHER SYNOVITIS AND TENOSYNOVITIS, UNSP ANKLE AND FOOT",33,1,32
M65.88,"OTHER SYNOVITIS AND TENOSYNOVITIS, OTHER SITE",226,36,190
M65.89,"OTHER SYNOVITIS AND TENOSYNOVITIS, MULTIPLE SITES",52,3,49
M65.9,"SYNOVITIS AND TENOSYNOVITIS, UNSPECIFIED",2879,180,2699
M66.0,RUPTURE OF POPLITEAL CYST,86,20,66
M66.151,"RUPTURE OF SYNOVIUM, RIGHT HIP",1,,1
M66.18,"RUPTURE OF SYNOVIUM, OTHER SITE",9,1,8
M66.212,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, LEFT SHOULDER",1,,1
M66.231,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, RIGHT FOREARM",2,,2
M66.241,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, RIGHT HAND",4,,4
M66.242,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, LEFT HAND",4,1,3
M66.251,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, RIGHT THIGH",4,2,2
M66.252,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, LEFT THIGH",5,3,2
M66.259,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, UNSPECIFIED THIGH",1,1,
M66.261,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, RIGHT LOWER LEG",13,2,11
M66.262,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, LEFT LOWER LEG",8,1,7
M66.269,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, UNSP LOWER LEG",1,,1
M66.271,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, RIGHT ANK/FT",2,1,1
M66.28,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, OTHER SITE",3,,3
M66.311,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, RIGHT SHOULDER",3,,3
M66.312,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, LEFT SHOULDER",1,,1
M66.321,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, RIGHT UPPER ARM",5,,5
M66.322,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, LEFT UPPER ARM",3,1,2
M66.332,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, LEFT FOREARM",1,,1
M66.341,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, RIGHT HAND",7,1,6
M66.342,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, LEFT HAND",2,,2
M66.349,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, UNSPECIFIED HAND",1,,1
M66.361,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, RIGHT LOWER LEG",2,1,1
M66.362,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, LEFT LOWER LEG",4,2,2
M66.371,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, RIGHT ANKLE AND FOOT",4,,4
M66.372,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, LEFT ANKLE AND FOOT",2,,2
M66.39,"SPONTANEOUS RUPTURE OF FLEXOR TENDONS, MULTIPLE SITES",2,,2
M66.811,"SPONTANEOUS RUPTURE OF OTHER TENDONS, RIGHT SHOULDER",13,1,12
M66.812,"SPONTANEOUS RUPTURE OF OTHER TENDONS, LEFT SHOULDER",9,1,8
M66.821,"SPONTANEOUS RUPTURE OF OTHER TENDONS, RIGHT UPPER ARM",11,2,9
M66.822,"SPONTANEOUS RUPTURE OF OTHER TENDONS, LEFT UPPER ARM",4,,4
M66.829,"SPONTANEOUS RUPTURE OF OTHER TENDONS, UNSPECIFIED UPPER ARM",2,,2
M66.851,"SPONTANEOUS RUPTURE OF OTHER TENDONS, RIGHT THIGH",7,3,4
M66.852,"SPONTANEOUS RUPTURE OF OTHER TENDONS, LEFT THIGH",8,2,6
M66.861,"SPONTANEOUS RUPTURE OF OTHER TENDONS, RIGHT LOWER LEG",27,6,21
M66.862,"SPONTANEOUS RUPTURE OF OTHER TENDONS, LEFT LOWER LEG",21,5,16
M66.871,"SPONTANEOUS RUPTURE OF OTHER TENDONS, RIGHT ANKLE AND FOOT",6,1,5
M66.872,"SPONTANEOUS RUPTURE OF OTHER TENDONS, LEFT ANKLE AND FOOT",12,3,9
M66.88,"SPONTANEOUS RUPTURE OF OTHER TENDONS, OTHER",10,4,6
M66.9,SPONTANEOUS RUPTURE OF UNSPECIFIED TENDON,10,1,9
M67.00,"SHORT ACHILLES TENDON (ACQUIRED), UNSPECIFIED ANKLE",11,,11
M67.01,"SHORT ACHILLES TENDON (ACQUIRED), RIGHT ANKLE",118,10,108
M67.02,"SHORT ACHILLES TENDON (ACQUIRED), LEFT ANKLE",119,14,105
M67.211,"SYNOVIAL HYPERTROPHY, NEC, RIGHT SHOULDER",1,,1
M67.212,"SYNOVIAL HYPERTROPHY, NEC, LEFT SHOULDER",2,,2
M67.251,"SYNOVIAL HYPERTROPHY, NOT ELSEWHERE CLASSIFIED, RIGHT THIGH",1,,1
M67.252,"SYNOVIAL HYPERTROPHY, NOT ELSEWHERE CLASSIFIED, LEFT THIGH",1,,1
M67.261,"SYNOVIAL HYPERTROPHY, NEC, RIGHT LOWER LEG",22,,22
M67.262,"SYNOVIAL HYPERTROPHY, NEC, LEFT LOWER LEG",15,,15
M67.271,"SYNOVIAL HYPERTROPHY, NEC, RIGHT ANKLE AND FOOT",2,,2
M67.272,"SYNOVIAL HYPERTROPHY, NEC, LEFT ANKLE AND FOOT",1,,1
M67.28,"SYNOVIAL HYPERTROPHY, NOT ELSEWHERE CLASSIFIED, OTHER SITE",5,,5
M67.30,"TRANSIENT SYNOVITIS, UNSPECIFIED SITE",15,9,6
M67.331,"TRANSIENT SYNOVITIS, RIGHT WRIST",1,1,
M67.342,"TRANSIENT SYNOVITIS, LEFT HAND",1,,1
M67.351,"TRANSIENT SYNOVITIS, RIGHT HIP",80,55,25
M67.352,"TRANSIENT SYNOVITIS, LEFT HIP",63,46,17
M67.359,"TRANSIENT SYNOVITIS, UNSPECIFIED HIP",3,,3
M67.361,"TRANSIENT SYNOVITIS, RIGHT KNEE",21,7,14
M67.362,"TRANSIENT SYNOVITIS, LEFT KNEE",23,12,11
M67.371,"TRANSIENT SYNOVITIS, RIGHT ANKLE AND FOOT",1,,1
M67.372,"TRANSIENT SYNOVITIS, LEFT ANKLE AND FOOT",3,1,2
M67.38,"TRANSIENT SYNOVITIS, OTHER SITE",1,,1
M67.39,"TRANSIENT SYNOVITIS, MULTIPLE SITES",3,3,
M67.40,"GANGLION, UNSPECIFIED SITE",125,,125
M67.411,"GANGLION, RIGHT SHOULDER",6,1,5
M67.412,"GANGLION, LEFT SHOULDER",11,,11
M67.421,"GANGLION, RIGHT ELBOW",3,,3
M67.431,"GANGLION, RIGHT WRIST",66,3,63
M67.432,"GANGLION, LEFT WRIST",57,2,55
M67.439,"GANGLION, UNSPECIFIED WRIST",21,,21
M67.441,"GANGLION, RIGHT HAND",15,,15
M67.442,"GANGLION, LEFT HAND",23,,23
M67.449,"GANGLION, UNSPECIFIED HAND",1,,1
M67.451,"GANGLION, RIGHT HIP",8,,8
M67.452,"GANGLION, LEFT HIP",2,,2
M67.461,"GANGLION, RIGHT KNEE",8,1,7
M67.462,"GANGLION, LEFT KNEE",7,,7
M67.469,"GANGLION, UNSPECIFIED KNEE",2,,2
M67.471,"GANGLION, RIGHT ANKLE AND FOOT",23,2,21
M67.472,"GANGLION, LEFT ANKLE AND FOOT",27,,27
M67.479,"GANGLION, UNSPECIFIED ANKLE AND FOOT",4,,4
M67.48,"GANGLION, OTHER SITE",62,4,58
M67.49,"GANGLION, MULTIPLE SITES",2,1,1
M67.50,"PLICA SYNDROME, UNSPECIFIED KNEE",3,,3
M67.51,"PLICA SYNDROME, RIGHT KNEE",7,,7
M67.52,"PLICA SYNDROME, LEFT KNEE",10,,10
M67.80,"OTH DISRD OF SYNOVIUM AND TENDON, UNSPECIFIED SITE",3,,3
M67.811,"OTHER SPECIFIED DISORDERS OF SYNOVIUM, RIGHT SHOULDER",1,,1
M67.813,"OTHER SPECIFIED DISORDERS OF TENDON, RIGHT SHOULDER",17,,17
M67.814,"OTHER SPECIFIED DISORDERS OF TENDON, LEFT SHOULDER",14,,14
M67.823,"OTHER SPECIFIED DISORDERS OF TENDON, RIGHT ELBOW",2,,2
M67.824,"OTHER SPECIFIED DISORDERS OF TENDON, LEFT ELBOW",2,,2
M67.833,"OTHER SPECIFIED DISORDERS OF TENDON, RIGHT WRIST",1,,1
M67.834,"OTHER SPECIFIED DISORDERS OF TENDON, LEFT WRIST",2,,2
M67.842,"OTHER SPECIFIED DISORDERS OF SYNOVIUM, LEFT HAND",1,,1
M67.843,"OTHER SPECIFIED DISORDERS OF TENDON, RIGHT HAND",2,,2
M67.844,"OTHER SPECIFIED DISORDERS OF TENDON, LEFT HAND",4,,4
M67.851,"OTHER SPECIFIED DISORDERS OF SYNOVIUM, RIGHT HIP",1,,1
