ProcedureCode,ProcedureDesc,TotalProc,PrimaryProc,SecondProc
01NQ0ZZ,"RELEASE SACRAL PLEXUS, OPEN APPROACH",4,,4
01NR0ZZ,"RELEASE SACRAL NERVE, OPEN APPROACH",897,43,854
01NR3ZZ,"RELEASE SACRAL NERVE, PERCUTANEOUS APPROACH",2,,2
01NR4ZZ,"RELEASE SACRAL NERVE, PERCUTANEOUS ENDOSCOPIC APPROACH",5,,5
01PY00Z,"REMOVAL OF DRAINAGE DEVICE FROM PERIPH NRV, OPEN APPROACH",1,,1
01PY07Z,"REMOVAL OF AUTOL SUB FROM PERIPH NRV, OPEN APPROACH",1,,1
01PY0MZ,"REMOVAL OF NEURO LEAD FROM PERIPH NRV, OPEN APPROACH",20,14,6
01PY0YZ,"REMOVAL OF OTHER DEVICE FROM PERIPHERAL NERVE, OPEN APPROACH",2,1,1
01PY3MZ,"REMOVAL OF NEURO LEAD FROM PERIPH NRV, PERC APPROACH",6,,6
01PY3YZ,"REMOVAL OF OTHER DEVICE FROM PERIPHERAL NERVE, PERC APPROACH",1,,1
01PY4MZ,"REMOVAL OF NEURO LEAD FROM PERIPH NRV, PERC ENDO APPROACH",1,1,
01PYXMZ,"REMOVAL OF NEURO LEAD FROM PERIPH NRV, EXTERN APPROACH",1,1,
01Q10ZZ,"REPAIR CERVICAL NERVE, OPEN APPROACH",3,,3
01Q20ZZ,"REPAIR PHRENIC NERVE, OPEN APPROACH",3,1,2
01Q30ZZ,"REPAIR BRACHIAL PLEXUS, OPEN APPROACH",15,1,14
01Q40ZZ,"REPAIR ULNAR NERVE, OPEN APPROACH",349,58,291
01Q43ZZ,"REPAIR ULNAR NERVE, PERCUTANEOUS APPROACH",8,,8
01Q44ZZ,"REPAIR ULNAR NERVE, PERCUTANEOUS ENDOSCOPIC APPROACH",5,1,4
01Q50ZZ,"REPAIR MEDIAN NERVE, OPEN APPROACH",169,38,131
01Q53ZZ,"REPAIR MEDIAN NERVE, PERCUTANEOUS APPROACH",1,,1
01Q60ZZ,"REPAIR RADIAL NERVE, OPEN APPROACH",331,53,278
01Q63ZZ,"REPAIR RADIAL NERVE, PERCUTANEOUS APPROACH",7,2,5
01Q64ZZ,"REPAIR RADIAL NERVE, PERCUTANEOUS ENDOSCOPIC APPROACH",1,,1
01Q80ZZ,"REPAIR THORACIC NERVE, OPEN APPROACH",8,1,7
01Q90ZZ,"REPAIR LUMBAR PLEXUS, OPEN APPROACH",4,,4
01Q93ZZ,"REPAIR LUMBAR PLEXUS, PERCUTANEOUS APPROACH",1,,1
01QB0ZZ,"REPAIR LUMBAR NERVE, OPEN APPROACH",7,,7
01QB3ZZ,"REPAIR LUMBAR NERVE, PERCUTANEOUS APPROACH",1,,1
01QC0ZZ,"REPAIR PUDENDAL NERVE, OPEN APPROACH",1,,1
01QD0ZZ,"REPAIR FEMORAL NERVE, OPEN APPROACH",6,,6
01QF0ZZ,"REPAIR SCIATIC NERVE, OPEN APPROACH",19,2,17
01QG0ZZ,"REPAIR TIBIAL NERVE, OPEN APPROACH",12,1,11
01QG3ZZ,"REPAIR TIBIAL NERVE, PERCUTANEOUS APPROACH",1,1,
01QH0ZZ,"REPAIR PERONEAL NERVE, OPEN APPROACH",41,8,33
01QK0ZZ,"REPAIR HEAD AND NECK SYMPATHETIC NERVE, OPEN APPROACH",28,2,26
01QM0ZZ,"REPAIR ABDOMINAL SYMPATHETIC NERVE, OPEN APPROACH",1,,1
01QQ0ZZ,"REPAIR SACRAL PLEXUS, OPEN APPROACH",1,,1
01QR0ZZ,"REPAIR SACRAL NERVE, OPEN APPROACH",8,3,5
01R107Z,"REPLACEMENT OF CERVICAL NERVE WITH AUTOL SUB, OPEN APPROACH",3,2,1
01R207Z,"REPLACEMENT OF PHRENIC NERVE WITH AUTOL SUB, OPEN APPROACH",1,1,
01R20KZ,"REPLACEMENT OF PHRENIC NERVE WITH NONAUT SUB, OPEN APPROACH",1,,1
01R407Z,"REPLACEMENT OF ULNAR NERVE WITH AUTOL SUB, OPEN APPROACH",2,1,1
01R40JZ,"REPLACEMENT OF ULNAR NERVE WITH SYNTH SUB, OPEN APPROACH",2,,2
01R40KZ,"REPLACEMENT OF ULNAR NERVE WITH NONAUT SUB, OPEN APPROACH",13,,13
01R507Z,"REPLACEMENT OF MEDIAN NERVE WITH AUTOL SUB, OPEN APPROACH",2,,2
01R50JZ,"REPLACEMENT OF MEDIAN NERVE WITH SYNTH SUB, OPEN APPROACH",1,,1
01R50KZ,"REPLACEMENT OF MEDIAN NERVE WITH NONAUT SUB, OPEN APPROACH",7,1,6
01R607Z,"REPLACEMENT OF RADIAL NERVE WITH AUTOL SUB, OPEN APPROACH",3,1,2
01R60JZ,"REPLACEMENT OF RADIAL NERVE WITH SYNTH SUB, OPEN APPROACH",1,,1
01R60KZ,"REPLACEMENT OF RADIAL NERVE WITH NONAUT SUB, OPEN APPROACH",15,1,14
01R80JZ,"REPLACEMENT OF THORACIC NERVE WITH SYNTH SUB, OPEN APPROACH",1,,1
01R80KZ,"REPLACEMENT OF THORACIC NERVE WITH NONAUT SUB, OPEN APPROACH",7,,7
01RB0JZ,"REPLACEMENT OF LUMBAR NERVE WITH SYNTH SUB, OPEN APPROACH",1,,1
01RB0KZ,"REPLACEMENT OF LUMBAR NERVE WITH NONAUT SUB, OPEN APPROACH",1,,1
01RB47Z,"REPLACEMENT OF LUMBAR NRV WITH AUTOL SUB, PERC ENDO APPROACH",2,,2
01RD0KZ,"REPLACEMENT OF FEMORAL NERVE WITH NONAUT SUB, OPEN APPROACH",1,,1
01RG0JZ,"REPLACEMENT OF TIBIAL NERVE WITH SYNTH SUB, OPEN APPROACH",1,1,
01RG0KZ,"REPLACEMENT OF TIBIAL NERVE WITH NONAUT SUB, OPEN APPROACH",1,,1
01RH07Z,"REPLACEMENT OF PERONEAL NERVE WITH AUTOL SUB, OPEN APPROACH",3,,3
01RH0JZ,"REPLACEMENT OF PERONEAL NERVE WITH SYNTH SUB, OPEN APPROACH",1,1,
01RH0KZ,"REPLACEMENT OF PERONEAL NERVE WITH NONAUT SUB, OPEN APPROACH",1,1,
01RR0KZ,"REPLACEMENT OF SACRAL NERVE WITH NONAUT SUB, OPEN APPROACH",1,,1
01S00ZZ,"REPOSITION CERVICAL PLEXUS, OPEN APPROACH",9,5,4
01S10ZZ,"REPOSITION CERVICAL NERVE, OPEN APPROACH",2,,2
01S40ZZ,"REPOSITION ULNAR NERVE, OPEN APPROACH",155,10,145
01S44ZZ,"REPOSITION ULNAR NERVE, PERCUTANEOUS ENDOSCOPIC APPROACH",1,,1
01S50ZZ,"REPOSITION MEDIAN NERVE, OPEN APPROACH",5,1,4
01S60ZZ,"REPOSITION RADIAL NERVE, OPEN APPROACH",13,,13
01S80ZZ,"REPOSITION THORACIC NERVE, OPEN APPROACH",2,,2
01S90ZZ,"REPOSITION LUMBAR PLEXUS, OPEN APPROACH",3,,3
01SD0ZZ,"REPOSITION FEMORAL NERVE, OPEN APPROACH",4,,4
01SF0ZZ,"REPOSITION SCIATIC NERVE, OPEN APPROACH",2,,2
01SG0ZZ,"REPOSITION TIBIAL NERVE, OPEN APPROACH",5,,5
01SH0ZZ,"REPOSITION PERONEAL NERVE, OPEN APPROACH",8,,8
01U107Z,"SUPPLEMENT CERVICAL NERVE WITH AUTOL SUB, OPEN APPROACH",20,11,9
01U10KZ,"SUPPLEMENT CERVICAL NERVE WITH NONAUT SUB, OPEN APPROACH",4,3,1
01U407Z,"SUPPLEMENT ULNAR NERVE WITH AUTOL SUB, OPEN APPROACH",15,4,11
01U40JZ,"SUPPLEMENT ULNAR NERVE WITH SYNTH SUB, OPEN APPROACH",18,3,15
01U40KZ,"SUPPLEMENT ULNAR NERVE WITH NONAUT SUB, OPEN APPROACH",53,5,48
01U43KZ,"SUPPLEMENT ULNAR NERVE WITH NONAUT SUB, PERC APPROACH",1,,1
01U507Z,"SUPPLEMENT MEDIAN NERVE WITH AUTOL SUB, OPEN APPROACH",21,4,17
01U50JZ,"SUPPLEMENT MEDIAN NERVE WITH SYNTH SUB, OPEN APPROACH",11,2,9
01U50KZ,"SUPPLEMENT MEDIAN NERVE WITH NONAUT SUB, OPEN APPROACH",19,3,16
01U607Z,"SUPPLEMENT RADIAL NERVE WITH AUTOL SUB, OPEN APPROACH",17,,17
01U60JZ,"SUPPLEMENT RADIAL NERVE WITH SYNTH SUB, OPEN APPROACH",21,4,17
01U60KZ,"SUPPLEMENT RADIAL NERVE WITH NONAUT SUB, OPEN APPROACH",66,9,57
01U807Z,"SUPPLEMENT THORACIC NERVE WITH AUTOL SUB, OPEN APPROACH",4,1,3
01U80JZ,"SUPPLEMENT THORACIC NERVE WITH SYNTH SUB, OPEN APPROACH",3,,3
01U80KZ,"SUPPLEMENT THORACIC NERVE WITH NONAUT SUB, OPEN APPROACH",18,,18
01UB07Z,"SUPPLEMENT LUMBAR NERVE WITH AUTOL SUB, OPEN APPROACH",3,,3
01UB0JZ,"SUPPLEMENT LUMBAR NERVE WITH SYNTH SUB, OPEN APPROACH",2,,2
01UB0KZ,"SUPPLEMENT LUMBAR NERVE WITH NONAUT SUB, OPEN APPROACH",3,,3
01UB47Z,"SUPPLEMENT LUMBAR NERVE WITH AUTOL SUB, PERC ENDO APPROACH",1,,1
01UB4KZ,"SUPPLEMENT LUMBAR NERVE WITH NONAUT SUB, PERC ENDO APPROACH",3,,3
01UC47Z,"SUPPLEMENT PUDENDAL NERVE WITH AUTOL SUB, PERC ENDO APPROACH",1,,1
01UC4JZ,"SUPPLEMENT PUDENDAL NERVE WITH SYNTH SUB, PERC ENDO APPROACH",2,,2
01UC4KZ,"SUPPLEMENT PUDEND NRV WITH NONAUT SUB, PERC ENDO APPROACH",2,,2
01UD07Z,"SUPPLEMENT FEMORAL NERVE WITH AUTOL SUB, OPEN APPROACH",2,,2
01UD0KZ,"SUPPLEMENT FEMORAL NERVE WITH NONAUT SUB, OPEN APPROACH",1,,1
01UF07Z,"SUPPLEMENT SCIATIC NERVE WITH AUTOL SUB, OPEN APPROACH",3,2,1
01UF0JZ,"SUPPLEMENT SCIATIC NERVE WITH SYNTH SUB, OPEN APPROACH",1,,1
01UF4KZ,"SUPPLEMENT SCIATIC NERVE WITH NONAUT SUB, PERC ENDO APPROACH",1,,1
01UG07Z,"SUPPLEMENT TIBIAL NERVE WITH AUTOL SUB, OPEN APPROACH",2,,2
01UG0JZ,"SUPPLEMENT TIBIAL NERVE WITH SYNTH SUB, OPEN APPROACH",1,,1
01UG0KZ,"SUPPLEMENT TIBIAL NERVE WITH NONAUT SUB, OPEN APPROACH",3,,3
01UH0JZ,"SUPPLEMENT PERONEAL NERVE WITH SYNTH SUB, OPEN APPROACH",2,,2
01UH0KZ,"SUPPLEMENT PERONEAL NERVE WITH NONAUT SUB, OPEN APPROACH",7,4,3
01UR07Z,"SUPPLEMENT SACRAL NERVE WITH AUTOL SUB, OPEN APPROACH",3,,3
01UR0JZ,"SUPPLEMENT SACRAL NERVE WITH SYNTH SUB, OPEN APPROACH",4,,4
01UR0KZ,"SUPPLEMENT SACRAL NERVE WITH NONAUT SUB, OPEN APPROACH",6,1,5
01UR4JZ,"SUPPLEMENT SACRAL NERVE WITH SYNTH SUB, PERC ENDO APPROACH",1,,1
01UR4KZ,"SUPPLEMENT SACRAL NERVE WITH NONAUT SUB, PERC ENDO APPROACH",1,,1
01WY3MZ,"REVISION OF NEURO LEAD IN PERIPH NRV, PERC APPROACH",1,,1
01X10Z1,"TRANSFER CERVICAL NERVE TO CERVICAL NERVE, OPEN APPROACH",3,2,1
01X10Z2,"TRANSFER CERVICAL NERVE TO PHRENIC NERVE, OPEN APPROACH",1,,1
01X40Z4,"TRANSFER ULNAR NERVE TO ULNAR NERVE, OPEN APPROACH",14,,14
01X40Z5,"TRANSFER ULNAR NERVE TO MEDIAN NERVE, OPEN APPROACH",6,1,5
01X50Z4,"TRANSFER MEDIAN NERVE TO ULNAR NERVE, OPEN APPROACH",3,,3
01X50Z5,"TRANSFER MEDIAN NERVE TO MEDIAN NERVE, OPEN APPROACH",5,1,4
01X60Z4,"TRANSFER RADIAL NERVE TO ULNAR NERVE, OPEN APPROACH",1,,1
01X60Z5,"TRANSFER RADIAL NERVE TO MEDIAN NERVE, OPEN APPROACH",1,1,
01X60Z6,"TRANSFER RADIAL NERVE TO RADIAL NERVE, OPEN APPROACH",5,,5
01X80Z8,"TRANSFER THORACIC NERVE TO THORACIC NERVE, OPEN APPROACH",5,1,4
01XD0ZD,"TRANSFER FEMORAL NERVE TO FEMORAL NERVE, OPEN APPROACH",1,1,
01XF0ZF,"TRANSFER SCIATIC NERVE TO SCIATIC NERVE, OPEN APPROACH",1,,1
0210089,"BYPASS 1 COR ART FROM L INT MAMMARY W ZOOPLASTIC, OPEN",7,2,5
021008W,"BYPASS 1 COR ART FROM AORTA WITH ZOOPLASTIC, OPEN APPROACH",2,,2
0210093,"BYPASS 1 COR ART FROM COR ART WITH AUTOL VN, OPEN APPROACH",376,45,331
0210098,"BYPASS 1 COR ART FROM R INT MAMMARY W AUTOL VN, OPEN",27,10,17
0210099,"BYPASS 1 COR ART FROM L INT MAMMARY W AUTOL VN, OPEN",441,231,210
021009C,"BYPASS 1 COR ART FROM THOR ART WITH AUTOL VN, OPEN APPROACH",15,8,7
021009W,"BYPASS 1 COR ART FROM AORTA WITH AUTOL VN, OPEN APPROACH",3395,893,2502
02100A3,"BYPASS 1 COR ART FROM COR ART WITH AUTOL ART, OPEN APPROACH",70,12,58
02100A8,"BYPASS 1 COR ART FROM R INT MAMMARY W AUTOL ART, OPEN",52,14,38
02100A9,"BYPASS 1 COR ART FROM L INT MAMMARY W AUTOL ART, OPEN",393,192,201
02100AC,"BYPASS 1 COR ART FROM THOR ART WITH AUTOL ART, OPEN APPROACH",18,2,16
02100AW,"BYPASS 1 COR ART FROM AORTA WITH AUTOL ART, OPEN APPROACH",818,159,659
02100J9,"BYPASS 1 COR ART FROM L INT MAMMARY W SYNTH SUB, OPEN",1,1,
02100JW,"BYPASS 1 COR ART FROM AORTA WITH SYNTH SUB, OPEN APPROACH",4,,4
02100K3,"BYPASS 1 COR ART FROM COR ART WITH NONAUT SUB, OPEN APPROACH",4,,4
02100K9,"BYPASS 1 COR ART FROM L INT MAMMARY W NONAUT SUB, OPEN",9,7,2
02100KW,"BYPASS 1 COR ART FROM AORTA WITH NONAUT SUB, OPEN APPROACH",19,4,15
02100Z3,"BYPASS 1 COR ART FROM COR ART, OPEN APPROACH",61,18,43
02100Z8,"BYPASS 1 COR ART FROM R INT MAMMARY, OPEN APPROACH",623,67,556
02100Z9,"BYPASS 1 COR ART FROM L INT MAMMARY, OPEN APPROACH",13059,6839,6220
02100ZC,"BYPASS 1 COR ART FROM THOR ART, OPEN APPROACH",172,79,93
0210493,"BYPASS 1 COR ART FROM COR ART W AUTOL VN, PERC ENDO",3,1,2
0210499,"BYPASS 1 COR ART FROM L INT MAMMARY W AUTOL VN, PERC ENDO",6,5,1
021049W,"BYPASS 1 COR ART FROM AORTA W AUTOL VN, PERC ENDO",10,2,8
02104A3,"BYPASS 1 COR ART FROM COR ART W AUTOL ART, PERC ENDO",1,,1
02104A9,"BYPASS 1 COR ART FROM L INT MAMMARY W AUTOL ART, PERC ENDO",1,1,
02104AW,"BYPASS 1 COR ART FROM AORTA W AUTOL ART, PERC ENDO",1,,1
02104J3,"BYPASS 1 COR ART FROM COR ART W SYNTH SUB, PERC ENDO",1,,1
02104K9,"BYPASS 1 COR ART FROM L INT MAMMARY W NONAUT SUB, PERC ENDO",1,1,
02104Z8,"BYPASS 1 COR ART FROM R INT MAMMARY, PERC ENDO APPROACH",1,,1
02104Z9,"BYPASS 1 COR ART FROM L INT MAMMARY, PERC ENDO APPROACH",31,21,10
02104ZC,"BYPASS 1 COR ART FROM THOR ART, PERC ENDO APPROACH",2,,2
021108W,"BYPASS 2 COR ART FROM AORTA WITH ZOOPLASTIC, OPEN APPROACH",3,,3
0211093,"BYPASS 2 COR ART FROM COR ART WITH AUTOL VN, OPEN APPROACH",395,88,307
0211098,"BYPASS 2 COR ART FROM R INT MAMMARY W AUTOL VN, OPEN",8,4,4
0211099,"BYPASS 2 COR ART FROM L INT MAMMARY W AUTOL VN, OPEN",58,44,14
021109C,"BYPASS 2 COR ART FROM THOR ART WITH AUTOL VN, OPEN APPROACH",3,1,2
021109W,"BYPASS 2 COR ART FROM AORTA WITH AUTOL VN, OPEN APPROACH",5747,1765,3982
02110A3,"BYPASS 2 COR ART FROM COR ART WITH AUTOL ART, OPEN APPROACH",19,3,16
02110A8,"BYPASS 2 COR ART FROM R INT MAMMARY W AUTOL ART, OPEN",3,,3
02110A9,"BYPASS 2 COR ART FROM L INT MAMMARY W AUTOL ART, OPEN",15,10,5
02110AC,"BYPASS 2 COR ART FROM THOR ART WITH AUTOL ART, OPEN APPROACH",4,2,2
02110AW,"BYPASS 2 COR ART FROM AORTA WITH AUTOL ART, OPEN APPROACH",77,21,56
02110JW,"BYPASS 2 COR ART FROM AORTA WITH SYNTH SUB, OPEN APPROACH",1,,1
02110KW,"BYPASS 2 COR ART FROM AORTA WITH NONAUT SUB, OPEN APPROACH",7,2,5
02110Z3,"BYPASS 2 COR ART FROM COR ART, OPEN APPROACH",23,5,18
02110Z8,"BYPASS 2 COR ART FROM R INT MAMMARY, OPEN APPROACH",5,,5
02110Z9,"BYPASS 2 COR ART FROM L INT MAMMARY, OPEN APPROACH",188,113,75
02110ZC,"BYPASS 2 COR ART FROM THOR ART, OPEN APPROACH",9,6,3
0211493,"BYPASS 2 COR ART FROM COR ART W AUTOL VN, PERC ENDO",6,,6
021149W,"BYPASS 2 COR ART FROM AORTA W AUTOL VN, PERC ENDO",9,4,5
02114A9,"BYPASS 2 COR ART FROM L INT MAMMARY W AUTOL ART, PERC ENDO",1,,1
02114AW,"BYPASS 2 COR ART FROM AORTA W AUTOL ART, PERC ENDO",1,,1
0212093,"BYPASS 3 COR ART FROM COR ART WITH AUTOL VN, OPEN APPROACH",226,52,174
0212098,"BYPASS 3 COR ART FROM R INT MAMMARY W AUTOL VN, OPEN",2,2,
0212099,"BYPASS 3 COR ART FROM L INT MAMMARY W AUTOL VN, OPEN",58,42,16
021209C,"BYPASS 3 COR ART FROM THOR ART WITH AUTOL VN, OPEN APPROACH",3,2,1
021209W,"BYPASS 3 COR ART FROM AORTA WITH AUTOL VN, OPEN APPROACH",3351,1133,2218
02120A3,"BYPASS 3 COR ART FROM COR ART WITH AUTOL ART, OPEN APPROACH",6,2,4
02120A9,"BYPASS 3 COR ART FROM L INT MAMMARY W AUTOL ART, OPEN",8,5,3
02120AW,"BYPASS 3 COR ART FROM AORTA WITH AUTOL ART, OPEN APPROACH",20,9,11
02120K9,"BYPASS 3 COR ART FROM L INT MAMMARY W NONAUT SUB, OPEN",1,1,
02120KW,"BYPASS 3 COR ART FROM AORTA WITH NONAUT SUB, OPEN APPROACH",2,2,
02120Z3,"BYPASS 3 COR ART FROM COR ART, OPEN APPROACH",15,6,9
02120Z8,"BYPASS 3 COR ART FROM R INT MAMMARY, OPEN APPROACH",1,,1
02120Z9,"BYPASS 3 COR ART FROM L INT MAMMARY, OPEN APPROACH",32,29,3
02120ZC,"BYPASS 3 COR ART FROM THOR ART, OPEN APPROACH",1,1,
02123D4,"BYPASS 3 COR ART FROM COR V WITH INTRALUM DEV, PERC APPROACH",1,,1
0212493,"BYPASS 3 COR ART FROM COR ART W AUTOL VN, PERC ENDO",1,,1
0212499,"BYPASS 3 COR ART FROM L INT MAMMARY W AUTOL VN, PERC ENDO",2,2,
021249W,"BYPASS 3 COR ART FROM AORTA W AUTOL VN, PERC ENDO",1,1,
02124AW,"BYPASS 3 COR ART FROM AORTA W AUTOL ART, PERC ENDO",1,,1
0213089,"BYPASS 4+ COR ART FROM L INT MAMMARY W ZOOPLASTIC, OPEN",1,,1
0213093,"BYPASS 4+ COR ART FROM COR ART WITH AUTOL VN, OPEN APPROACH",71,20,51
0213098,"BYPASS 4+ COR ART FROM R INT MAMMARY W AUTOL VN, OPEN",4,3,1
0213099,"BYPASS 4+ COR ART FROM L INT MAMMARY W AUTOL VN, OPEN",22,15,7
021309C,"BYPASS 4+ COR ART FROM THOR ART WITH AUTOL VN, OPEN APPROACH",3,2,1
021309W,"BYPASS 4+ COR ART FROM AORTA WITH AUTOL VN, OPEN APPROACH",1060,415,645
02130A3,"BYPASS 4+ COR ART FROM COR ART WITH AUTOL ART, OPEN APPROACH",2,2,
02130A9,"BYPASS 4+ COR ART FROM L INT MAMMARY W AUTOL ART, OPEN",6,5,1
02130AW,"BYPASS 4+ COR ART FROM AORTA WITH AUTOL ART, OPEN APPROACH",9,3,6
02130K9,"BYPASS 4+ COR ART FROM L INT MAMMARY W NONAUT SUB, OPEN",1,1,
02130KW,"BYPASS 4+ COR ART FROM AORTA WITH NONAUT SUB, OPEN APPROACH",1,,1
02130Z3,"BYPASS 4+ COR ART FROM COR ART, OPEN APPROACH",10,6,4
02130Z9,"BYPASS 4+ COR ART FROM L INT MAMMARY, OPEN APPROACH",19,12,7
0213499,"BYPASS 4+ COR ART FROM L INT MAMMARY W AUTOL VN, PERC ENDO",4,2,2
021349W,"BYPASS 4+ COR ART FROM AORTA W AUTOL VN, PERC ENDO",2,1,1
02134A8,"BYPASS 4+ COR ART FROM R INT MAMMARY W AUTOL ART, PERC ENDO",1,1,
02160JP,"BYPASS R ATRIUM TO PULM TRUNK WITH SYNTH SUB, OPEN APPROACH",1,,1
02160JQ,"BYPASS R ATRIUM TO R PULM ART WITH SYNTH SUB, OPEN APPROACH",3,2,1
02160Z7,"BYPASS RIGHT ATRIUM TO LEFT ATRIUM, OPEN APPROACH",21,1,20
02160ZP,"BYPASS RIGHT ATRIUM TO PULMONARY TRUNK, OPEN APPROACH",1,,1
02160ZQ,"BYPASS RIGHT ATRIUM TO RIGHT PULMONARY ARTERY, OPEN APPROACH",1,,1
02163Z7,"BYPASS RIGHT ATRIUM TO LEFT ATRIUM, PERCUTANEOUS APPROACH",95,19,76
02164JR,"BYPASS R ATRIUM TO L PULM ART W SYNTH SUB, PERC ENDO",1,1,
021708S,"BYPASS L ATRIUM TO R PULM VN WITH ZOOPLASTIC, OPEN APPROACH",3,2,1
021708T,"BYPASS L ATRIUM TO L PULM VN WITH ZOOPLASTIC, OPEN APPROACH",1,1,
021708U,"BYPASS L ATRIUM TO PULM VN CNFL W ZOOPLASTIC, OPEN",1,,1
021709S,"BYPASS LEFT ATRIUM TO R PULM VN WITH AUTOL VN, OPEN APPROACH",4,4,
021709T,"BYPASS LEFT ATRIUM TO L PULM VN WITH AUTOL VN, OPEN APPROACH",1,1,
02170AS,"BYPASS L ATRIUM TO R PULM VN WITH AUTOL ART, OPEN APPROACH",1,1,
02170AU,"BYPASS L ATRIUM TO PULM VN CNFL W AUTOL ART, OPEN",1,1,
02170JS,"BYPASS L ATRIUM TO R PULM VN WITH SYNTH SUB, OPEN APPROACH",1,,1
02170JU,"BYPASS L ATRIUM TO PULM VN CNFL W SYNTH SUB, OPEN",2,2,
02170KU,"BYPASS L ATRIUM TO PULM VN CNFL W NONAUT SUB, OPEN",1,,1
02170ZP,"BYPASS LEFT ATRIUM TO PULMONARY TRUNK, OPEN APPROACH",2,1,1
02170ZS,"BYPASS LEFT ATRIUM TO RIGHT PULMONARY VEIN, OPEN APPROACH",15,10,5
02170ZT,"BYPASS LEFT ATRIUM TO LEFT PULMONARY VEIN, OPEN APPROACH",12,8,4
02170ZU,"BYPASS LEFT ATRIUM TO PULM VN CNFL, OPEN APPROACH",39,30,9
021K08P,"BYPASS R VENTRICLE TO PULM TRUNK W ZOOPLASTIC, OPEN",9,6,3
021K08R,"BYPASS R VENTRICLE TO L PULM ART W ZOOPLASTIC, OPEN",3,1,2
021K0AP,"BYPASS R VENTRICLE TO PULM TRUNK W AUTOL ART, OPEN",5,3,2
021K0AQ,"BYPASS R VENTRICLE TO R PULM ART W AUTOL ART, OPEN",1,1,
021K0JP,"BYPASS R VENTRICLE TO PULM TRUNK W SYNTH SUB, OPEN",76,47,29
021K0JQ,"BYPASS R VENTRICLE TO R PULM ART W SYNTH SUB, OPEN",7,6,1
021K0JR,"BYPASS R VENTRICLE TO L PULM ART W SYNTH SUB, OPEN",3,2,1
021K0KP,"BYPASS R VENTRICLE TO PULM TRUNK W NONAUT SUB, OPEN",113,62,51
021K0KQ,"BYPASS R VENTRICLE TO R PULM ART W NONAUT SUB, OPEN",10,6,4
021K0KR,"BYPASS R VENTRICLE TO L PULM ART W NONAUT SUB, OPEN",7,5,2
021K0ZP,"BYPASS RIGHT VENTRICLE TO PULMONARY TRUNK, OPEN APPROACH",3,,3
021K0ZW,"BYPASS RIGHT VENTRICLE TO AORTA, OPEN APPROACH",3,2,1
021L0JP,"BYPASS L VENTRICLE TO PULM TRUNK W SYNTH SUB, OPEN",2,2,
021L0JQ,"BYPASS L VENTRICLE TO R PULM ART W SYNTH SUB, OPEN",1,1,
021L0KP,"BYPASS L VENTRICLE TO PULM TRUNK W NONAUT SUB, OPEN",1,,1
021L0Z5,"BYPASS LEFT VENTRICLE TO CORONARY CIRCULATION, OPEN APPROACH",1,,1
021L0ZF,"BYPASS LEFT VENTRICLE TO ABDOMINAL ARTERY, OPEN APPROACH",1,1,
021L0ZW,"BYPASS LEFT VENTRICLE TO AORTA, OPEN APPROACH",10,3,7
021P0JA,"BYPASS PULM TRUNK FROM INNOM ART W SYNTH SUB, OPEN",10,5,5
021P0JB,"BYPASS PULM TRUNK FROM SUBCLAV WITH SYNTH SUB, OPEN APPROACH",3,1,2
021P0JD,"BYPASS PULM TRUNK FROM CAROTID WITH SYNTH SUB, OPEN APPROACH",1,1,
021P0ZB,"BYPASS PULM TRUNK FROM SUBCLAV WITH NO DEV, OPEN APPROACH",1,,1
021Q0JA,"BYPASS R PULM ART FROM INNOM ART W SYNTH SUB, OPEN",35,19,16
021Q0JB,"BYPASS R PULM ART FROM SUBCLAV WITH SYNTH SUB, OPEN APPROACH",6,2,4
021Q0JD,"BYPASS R PULM ART FROM CAROTID WITH SYNTH SUB, OPEN APPROACH",1,1,
021Q0ZA,"BYPASS R PULM ART FROM INNOM ART WITH NO DEV, OPEN APPROACH",1,,1
021Q0ZB,"BYPASS R PULM ART FROM SUBCLAV WITH NO DEV, OPEN APPROACH",4,1,3
021R0JA,"BYPASS L PULM ART FROM INNOM ART W SYNTH SUB, OPEN",4,4,
021R0JB,"BYPASS L PULM ART FROM SUBCLAV WITH SYNTH SUB, OPEN APPROACH",1,,1
021R0JD,"BYPASS L PULM ART FROM CAROTID WITH SYNTH SUB, OPEN APPROACH",1,,1
021R0ZB,"BYPASS L PULM ART FROM SUBCLAV WITH NO DEV, OPEN APPROACH",2,1,1
021V08Q,"BYPASS SUP VENA CAVA TO R PULM ART W ZOOPLASTIC, OPEN",1,1,
021V08S,"BYPASS SUP VENA CAVA TO R PULM VN W ZOOPLASTIC, OPEN",8,6,2
021V08U,"BYPASS SUP VENA CAVA TO PULM VN CNFL W ZOOPLASTIC, OPEN",1,1,
021V09S,"BYPASS SUP VENA CAVA TO R PULM VN W AUTOL VN, OPEN",5,5,
021V09T,"BYPASS SUP VENA CAVA TO L PULM VN W AUTOL VN, OPEN",1,,1
021V09U,"BYPASS SUP VENA CAVA TO PULM VN CNFL W AUTOL VN, OPEN",1,1,
021V0AS,"BYPASS SUP VENA CAVA TO R PULM VN W AUTOL ART, OPEN",1,1,
021V0JP,"BYPASS SUP VENA CAVA TO PULM TRUNK W SYNTH SUB, OPEN",1,1,
021V0JQ,"BYPASS SUP VENA CAVA TO R PULM ART W SYNTH SUB, OPEN",2,1,1
